author_sort,authors,comments,cover,timestamp,formats,isbn,id,identifiers,languages,library_name,pubdate,publisher,rating,series,series_index,size,tags,title,title_sort,uuid
"Society of the Spectacle-AKPress (2005)","Society of the Spectacle-AKPress (2005)","","/Users/natkite/Calibre Library/Society of the Spectacle-AKPress (2005)/Guy Debord, Ken Knabb (11)/cover.jpg","2022-08-03T21:16:52-05:00","azw3, pdf","","11","","","Calibre Library","2011-01-29T16:57:33-05:00","","","","1.0","2430278","","Guy Debord, Ken Knabb","Guy Debord, Ken Knabb","d58b47f1-405d-49fa-ba75-722042ccd4dc"
"Camus, Albert","Albert Camus","Epub2Go.com v1.2","/Users/natkite/Calibre Library/Albert Camus/The Myth of Sisyphus and Other Essays (12)/cover.jpg","2022-08-03T21:17:25-05:00","azw3, epub","","12","","eng","Calibre Library","0100-12-31T19:00:00-05:00","","","","1.0","258328","","The Myth of Sisyphus and Other Essays","Myth of Sisyphus and Other Essays, The","64db0966-a729-48c2-ba58-9509f712a042"
"Press, Steal This Book 25th Anniversary Facsimile Edition -Da Capo","Steal This Book 25th Anniversary Facsimile Edition -Da Capo Press (1995)","","/Users/natkite/Calibre Library/Steal This Book 25th Anniversary Facsimile Edition -Da Capo Press (1995)/Abbie Hoffman (13)/cover.jpg","2022-08-03T21:22:57-05:00","azw3, pdf","","13","","","Calibre Library","2002-11-29T12:47:27-05:00","","","","1.0","41540842","","Abbie Hoffman","Abbie Hoffman","bf76e466-c069-4935-8bce-f783e63c8380"
"Wilson, Edward O.","Edward O. Wilson","","/Users/natkite/Calibre Library/Edward O. Wilson/Half-Earth_ Our Planet's Fight for Life (14)/cover.jpg","2022-08-03T21:24:33-05:00","azw3, epub","","14","mobi-asin:B00ZAT8VNE","eng","Calibre Library","2016-03-06T13:30:00-05:00","Liveright","","","1.0","1563920","","Half-Earth: Our Planet's Fight for Life","Half-Earth: Our Planet's Fight for Life","c942cab6-9ea7-440b-bf3b-75ae93b086d6"
"Wilson, Edward O.","Edward O. Wilson","<p><strong>Edward O. Wilson recalls his lifetime with ants&#8212;from his first boyhood encounters in the woods of Alabama to perilous journeys into the Brazilian rainforest.<br/></strong></p>"" Ants are the most warlike of all animals, with colony pitted against colony. . . . Their clashes dwarf Waterloo and Gettysburg,"" writes Edward O. Wilson in his most finely observed work in decades. In a myrmecological tour to such far-flung destinations as Mozambique and New Guinea, the Gulf of Mexico's Dauphin Island and even his parents' overgrown yard back in Alabama, Wilson thrillingly evokes his nine-decade-long scientific obsession with more than 15,000 ant species. Wryly observing that ""males are little more than flying sperm missiles"" or that ants send their ""little old ladies into battle,"" Wilson eloquently relays his brushes with fire, army, and leafcutter ants, as well as more exotic species: the Matabele, Africa's fiercest warrior ants; Costa Rica's Basiceros, the slowest ants...","/Users/natkite/Calibre Library/Edward O. Wilson/Tales from the Ant World (15)/cover.jpg","2022-08-03T21:24:33-05:00","azw3, epub","","15","","eng","Calibre Library","2020-08-13T19:00:00-05:00","Liveright","","","1.0","8924253","","Tales from the Ant World","Tales from the Ant World","a7029837-43fc-4739-9fe3-d6cc61903dbd"
"Wilson, Edward O.","Edward O. Wilson","<p>Forming a twenty-first-century statement on Darwinian evolution, one shorn of ""religious and political dogma,"" Edward O. Wilson offers a bold work of scientific thought and synthesis.</p><p>Asserting that religious creeds and philosophical questions can be reduced to purely genetic and evolutionary components, and that the human body and mind have a physical base obedient to the laws of physics and chemistry, Genesis demonstrates that the only way for us to fully understand human behavior is to study the evolutionary histories of nonhuman species. Of these, Wilson demonstrates that at least seventeen&#8212;among them the African naked mole rat and the sponge- dwelling shrimp&#8212;have been found to have advanced societies based on altruism and cooperation.</p><p>Whether writing about midges who ""dance about like acrobats"" or schools of anchovies who protectively huddle ""to appear like a gigantic fish,"" or proposing that human society owes a debt of gratitude to...","/Users/natkite/Calibre Library/Edward O. Wilson/Genesis (16)/cover.jpg","2022-08-03T21:24:33-05:00","azw3, epub","","16","","eng","Calibre Library","2019-02-05T19:00:00-05:00","Liveright","","","1.0","11443615","","Genesis","Genesis","8f404bd5-0def-4e26-932e-0d64ccad5413"
"Lovejoy, Thomas E. & Hannah, Lee","Thomas E. Lovejoy & Lee Hannah","","/Users/natkite/Calibre Library/Thomas E. Lovejoy/Biodiversity and Climate Change_ Transforming the Biosphere (18)/cover.jpg","2022-08-03T21:28:57-05:00","azw3, pdf","","18","","","Calibre Library","2018-10-10T05:38:12-05:00","","","","1.0","10188329","","Biodiversity and Climate Change: Transforming the Biosphere","Biodiversity and Climate Change: Transforming the Biosphere","88f7dcf9-2891-489d-bcaa-81fa0dc6ac1a"
"Russell, Legacy","Legacy Russell","<b>A new manifesto for cyberfeminism</b><br>The divide between the digital and the real world no longer exists: we are connected all the time. How do we find out who we are within this digital era? Where do we create the space to explore our identity? How can we come together and create solidarity?<br> The glitch is often dismissed as an error, a faulty overlaying, but, as Legacy Russell shows, liberation can be found within the fissures between gender, technology and the body that it creates. The glitch offers the opportunity for us to perform and transform oenurselves in an infinite variety of identities. In <i>Glitch Feminism</i>, Russell makes a series of radical demands through memoir, art and critical theory, and the work of contemporary artists who have travelled through the glitch in their work. <br> Timely and provocative, <i>Glitch Feminism</i> shows how the error can be a revolution.","/Users/natkite/Calibre Library/Legacy Russell/Glitch Feminism (19)/cover.jpg","2022-08-03T21:30:26-05:00","azw3, epub","","19","","eng","Calibre Library","0100-12-31T19:00:00-05:00","Verso Books","","","1.0","2262454","","Glitch Feminism","Glitch Feminism","55373c4e-e5e9-4202-a5c0-71d714f5a338"
"Galache, Carlos Sardina","Carlos Sardina Galache","<b>A first-hand account of the complex, bloody history of Mayanmar: and the origins of the ethnic cleansing of the Rohingyas</b><br>In 2011, Burma/Myanmar embarked in a democratic transition from a brutal military rule that culminated four years later, when the first free election in decades saw a landslide for the party of celebrated Nobel prize-winner Aung San Suu Kyi. Yet, even as the international community was celebrating a new dawn, old wars were raging in the northern borderlands and a crisis was emerging in western Arakan State, as the regime intensified its oppression of the vulnerable Muslim Rohingya community. The trigger of the latter was a series of episodes of intercommunal violence between Muslims and Buddhists in 2012, in which the army and police took sides attacking the former. By 2017, the conflict had escalated into a military onslaught against the Rohingya that provoked the most desperate refugee crisis of our times, as over 750,000 of them fled their homes to...","/Users/natkite/Calibre Library/Carlos Sardina Galache/The Burmese Labyrinth (20)/cover.jpg","2022-08-03T21:31:44-05:00","azw3, epub","","20","","eng","Calibre Library","0100-12-31T19:00:00-05:00","Verso Books","","","1.0","866520","","The Burmese Labyrinth","Burmese Labyrinth, The","95f992dc-3bf9-4527-985f-91dd14e02b61"
"Walker, Gavin","Gavin Walker","","/Users/natkite/Calibre Library/Gavin Walker/The Red Years_ Theory, Politics, and Aesthetics in the Japanese '68 (21)/cover.jpg","2022-08-03T21:31:44-05:00","azw3, epub","","21","","eng","Calibre Library","0100-12-31T19:00:00-05:00","Verso","","","1.0","3827410","","The Red Years: Theory, Politics, and Aesthetics in the Japanese ’68","Red Years: Theory, Politics, and Aesthetics in the Japanese ’68, The","4dd29927-e733-4ce9-b7e8-a6a57154d4ad"
"by Rob Cross, Andrew Parker & Sasson, Lisa","by Rob Cross, Andrew Parker & Lisa Sasson (eds)","","","2022-08-03T21:31:44-05:00","azw3, chm","0195159500","22","isbn:ISBN:0195159500","","Calibre Library","0100-12-31T19:00:00-05:00","Oxford Univ. Press","","","1.0","5234736","","Networks in the Knowledge Economy @Team LiB","Networks in the Knowledge Economy @Team LiB","ddd29a0e-0c9b-4dba-bcf8-a03c30925736"
"Gastil, John & Wright, Erik Olin","John Gastil & Erik Olin Wright","<b>Democracy means rule by the people, but in practice even the most robust democracies delegate most rule making to a political class</b><p>The gap between the public and its representatives might seem unbridgeable in the modern world, but <i>Legislature by Lot</i> examines an inspiring solution: a legislature chosen through ""sortition""&#8212;the random selection of lay citizens. It's a concept that has come to the attention of democratic reformers across the globe. Proposals for such bodies are being debated in Australia, Belgium, Iceland, the United Kingdom, and many other countries. Sortition promises to reduce corruption and create a truly representative legislature in one fell swoop.</p><p>In <i>Legislature by Lot</i>, John Gastil and Erik Olin Wright make the case for pairing a sortition body with an elected chamber within a bicameral legislature. Gastil is a leading deliberative democracy scholar, and Wright a distinguished sociologist and editor of the Real Utopias...","/Users/natkite/Calibre Library/John Gastil/Legislature by Lot (23)/cover.jpg","2022-08-03T21:38:30-05:00","azw3, epub","","23","","eng","Calibre Library","0100-12-31T19:00:00-05:00","Verso Books","","","1.0","1373736","","Legislature by Lot","Legislature by Lot","46dfd5db-7e2e-4525-a40a-6014f502c4d3"
"Rosental, Claude","Claude Rosental","<b>Today, as in the past, public demonstrations are not only tools to prove, persuade, and promote, but also fundamental forms of social interaction and exchange.<b></b></b><br>YouTube demos of makeup products by famous influencers, demonstrations of strength during street protests, demonstrations of military might in North Korea: public demonstrations are omnipresent in social life. Yet they are often perceived as isolated events, unworthy of systematic examination. In&nbsp;<i>The Demonstration Society</i>, Claude Rosental explores the underlying dynamics of what he calls a &ldquo;demonstration society.&rdquo; He shows how, both in today&rsquo;s world and historically, public demonstrations constitute not only tools to prove, persuade, and promote, but fundamental forms of interaction and exchange, and, in some cases, attempts to lead the world.<br> Rosental compares demos with other forms of public demonstrations, drawing out both their peculiarities and common features. He...","/Users/natkite/Calibre Library/Claude Rosental/The Demonstration Society (24)/cover.jpg","2022-08-06T09:07:43-05:00","azw3, epub","","24","","eng","Calibre Library","2021-09-21T19:00:00-05:00","MIT Press","","","1.0","1292139","Demo; demonstration; street protest; proof; persuasion; performance; high-tech; fair; sale; interaction; exchange.","The Demonstration Society","Demonstration Society, The","67cbca76-9f83-4214-a200-a45aae4d9e4c"
"Mears, Ashley","Ashley Mears","<p><b>A sociologist and former fashion model takes readers inside the elite global party circuit of ""models and bottles"" to reveal how beautiful young women are used to boost the status of men</b></p><p>Million-dollar birthday parties, megayachts on the French Riviera, and $40,000 bottles of champagne. In today's New Gilded Age, the world's moneyed classes have taken conspicuous consumption to new extremes. In <i>Very Important People</i>, sociologist, author, and former fashion model Ashley Mears takes readers inside the exclusive global nightclub and party circuit&#8212;from New York City and the Hamptons to Miami and Saint-Tropez&#8212;to reveal the intricate economy of beauty, status, and money that lies behind these spectacular displays of wealth and leisure.</p><p>Mears spent eighteen months in this world of ""models and bottles"" to write this captivating, sometimes funny, sometimes heartbreaking narrative. She describes how clubs and restaurants pay promoters to recruit...","/Users/natkite/Calibre Library/Ashley Mears/Very Important People (25)/cover.jpg","2022-08-06T09:07:43-05:00","azw3, epub","","25","","eng","Calibre Library","2020-03-05T19:00:00-05:00","Princeton University Press","","","1.0","5160024","","Very Important People","Very Important People","44db672e-951a-4a59-a2c0-a424ea73dd6f"
"Stuart, Forrest","Forrest Stuart","<p><b>How poor urban youth in Chicago use social media to profit from portrayals of gang violence, and the questions this raises about poverty, opportunities, and public voyeurism</b></p><p>Amid increasing hardship and limited employment options, poor urban youth are developing creative online strategies to make ends meet. Using such social media platforms as YouTube, Twitter, and Instagram, they're capitalizing on the public's fascination with the ghetto and gang violence. But with what consequences? <i>Ballad of the Bullet</i> follows the Corner Boys, a group of thirty or so young men on Chicago's South Side who have hitched their dreams of success to the creation of ""drill music"" (slang for ""shooting music""). Drillers disseminate this competitive genre of hyperviolent, hyperlocal, DIY-style gangsta rap digitally, hoping to amass millions of clicks, views, and followers&#8212;and a ticket out of poverty. But in this perverse system of benefits, where online popularity can...","/Users/natkite/Calibre Library/Forrest Stuart/Ballad of the Bullet (26)/cover.jpg","2022-08-06T09:07:43-05:00","azw3, epub","","26","","eng","Calibre Library","2020-02-23T19:00:00-05:00","Princeton University Press","","","1.0","3456782","","Ballad of the Bullet","Ballad of the Bullet","09feeb32-2ddb-4d8d-95dc-db6ce5cad1ac"
"Press, The Presentation of Self in Everyday Life-University of Edinburgh","The Presentation of Self in Everyday Life-University of Edinburgh Press (1956)","","/Users/natkite/Calibre Library/The Presentation of Self in Everyday Life-University of Edinburgh Press (1956)/Erving Goffman (27)/cover.jpg","2022-08-06T09:15:31-05:00","pdf","","27","","","Calibre Library","0100-12-31T19:00:00-05:00","","","","1.0","3591628","","Erving Goffman","Erving Goffman","646b6842-73aa-4cf0-8d4b-a5d90a35adc8"
"Prof Robin Dunbar","Prof. Robin Dunbar","### From
  1. Dunbar’s Number: the number establishing the limit on meaningful relationships one person can maintain. In showing how this number reflects the biological history of humans as distinctively social primates, Dunbar illustrates how recent advances in evolutionary science have enlarged the explanatory power of the Darwinian paradigm. Within this increasingly potent paradigm, readers learn, for example, why societies experiencing birth ratios unfavorable to females face serious crime surges in the decades ahead and why tall politicians (e.g., Obama) enjoy a pronounced advantage over short rivals (McCain). Dunbar’s work, of course, connects with the sociobiological theories advanced by E. O.Wilson in the 1980s, leaving some readers with the same questions about the potentially reductive implications of an overly biological framework. Does the distinctively human impulse to worship, for instance, manifest only the way that ritual behavior biochemically fosters group cohesion among anthropoids? Some readers may indeed wonder if Dunbar might not use his science more plausibly if he shared with biologist Peter Medawar an appreciation for its limits. Still, this is lucid and provocative. --Bryce Christensen 


### Review
An eclectic collection of essays on humanity and evolution with something for everyone. Dunbar explains, among other things, why monogamists need big brains, why it is worth buying a new suit for an interview, how to interpret an advert in a lonely hearts column, the perils of messing with evolution and, of course, how many friends one person needs (150 as it happens, aka ""Dunbar's number""). He speaks with authority and seduces us as only a master storyteller can.  
\--Kate Douglas, New Scientist (20101101) 
Lucid and provocative.  
\--Bryce Christensen (_Booklist_ ) 
","/Users/natkite/Calibre Library/Prof. Robin Dunbar/How Many Friends Does One Person Need__ Dunbars Number and Other Evolutionary Quirks (28)/cover.jpg","2022-08-11T12:58:41-05:00","azw3, epub","9780674057166","28","isbn:9780674057166","eng","Calibre Library","2010-11-15T00:00:00-05:00","Harvard University Press","4","","1.0","559414","Human behavior, Life Sciences, Psychology, Biology, Science, Evolution, General, Anthropology, Interpersonal Relations, Social Psychology, Social Science","How Many Friends Does One Person Need?: Dunbars Number and Other Evolutionary Quirks","How Many Friends Does One Person Need?: Dunbars Number and Other Evolutionary Quirks","b0b175bb-d93a-42f4-9e81-1a73be2f1f09"
"libgen.lc","libgen.lc","","/Users/natkite/Calibre Library/libgen.lc/[Studies in Behavioural Adaptation] Robin Dunbar - Primate Social Systems (1988, Springer) (29)/cover.jpg","2022-08-11T12:58:42-05:00","pdf","","29","","","Calibre Library","2012-03-03T07:30:03-05:00","","","","1.0","8723352","","[Studies in Behavioural Adaptation] Robin Dunbar - Primate Social Systems (1988, Springer)","[Studies in Behavioural Adaptation] Robin Dunbar - Primate Social Systems (1988, Springer)","4b72a65d-d389-4482-bea0-589116de2ad0"
"Dunbar, Robin","Robin Dunbar","","/Users/natkite/Calibre Library/Robin Dunbar/How Many Friends Does One Person Need__ Dunbar's Number and Other Evolutionary Quirks (30)/cover.jpg","2022-08-11T13:04:43-05:00","mobi","9780571258291","30","isbn:9780571258291,mobi-asin:B004UEL9TI","eng","Calibre Library","2010-03-04T03:00:00-05:00","Faber","","","1.0","513600","","How Many Friends Does One Person Need?: Dunbar's Number and Other Evolutionary Quirks","How Many Friends Does One Person Need?: Dunbar's Number and Other Evolutionary Quirks","5f3ee872-aefd-466a-8831-ecf6452448bd"
"Heidelberg, Mathematical Biology-Springer Berlin","Mathematical Biology-Springer Berlin Heidelberg (1993)","","/Users/natkite/Calibre Library/Mathematical Biology-Springer Berlin Heidelberg (1993)/(Biomathematics 19) James D. Murray FRS (auth.) (31)/cover.jpg","2022-08-16T10:21:30-05:00","pdf","","31","","","Calibre Library","2013-05-31T02:46:59-05:00","","","","1.0","25374547","","(Biomathematics 19) James D. Murray FRS (auth.)","(Biomathematics 19) James D. Murray FRS (auth.)","26fcc18d-740c-404d-9de5-d3ae68041b57"
"Constable, Catherine;","Constable, Catherine;","","/Users/natkite/Calibre Library/Constable, Catherine;/Adapting Philosophy (32)/cover.jpg","2022-08-16T11:53:22-05:00","pdf","","32","","","Calibre Library","2012-11-05T06:47:10-05:00","","","","1.0","3776589","","Adapting Philosophy","Adapting Philosophy","d7d08004-28f8-4551-8513-d4c71561a9b3"
"Smith, Zadie","Zadie Smith","","/Users/natkite/Calibre Library/Zadie Smith/White Teeth (33)/cover.jpg","2022-08-16T12:06:26-05:00","mobi","9781400075508","33","mobi-asin:e262a7f0-1f4a-4998-9919-e6053d0ca331,isbn:9781400075508","eng","Calibre Library","2008-11-27T17:00:00-05:00","Knopf Doubleday Publishing Group","","","1.0","875934","Fiction","White Teeth","White Teeth","46696e4c-e5fe-4afe-9705-75c9642cc6bb"
"FOSTER WALLACE, DAVID","David Foster Wallace","","/Users/natkite/Calibre Library/David Foster Wallace/Infinite Jest (34)/cover.jpg","2022-08-16T12:13:24-05:00","epub, mobi","9780316073851","34","isbn:9780316073851","eng","Calibre Library","2009-04-12T23:00:00-05:00","Little, Brown and Company","","","1.0","2154722","","Infinite Jest","Infinite Jest","14cf96af-7d2a-45df-808f-0089dbfe6e41"
"Gross, Paul R.","Gross, Paul R. & Levitt, Norman","","/Users/natkite/Calibre Library/Gross, Paul R_/Higher Superstition_ The Academic Left and Its Quarrels with Science (35)/cover.jpg","2022-08-16T19:13:11-05:00","epub, mobi","","35","mobi-asin:B005FA24EK","eng","Calibre Library","1997-12-20T19:00:00-05:00","Johns Hopkins University Press","","","1.0","739520","","Higher Superstition: The Academic Left and Its Quarrels with Science","Higher Superstition: The Academic Left and Its Quarrels with Science","e7c5fd44-496f-4941-a5d1-10f7e135382b"
"libgen.li","libgen.li","","/Users/natkite/Calibre Library/libgen.li/[Thinking Art] C. Thi Nguyen - Games Agency As Art (2020, Oxford University Press) (36)/cover.jpg","2022-08-21T18:41:39-05:00","pdf","","36","","","Calibre Library","2020-02-19T20:43:06-05:00","","","","1.0","1782726","","[Thinking Art] C. Thi Nguyen - Games Agency As Art (2020, Oxford University Press)","[Thinking Art] C. Thi Nguyen - Games Agency As Art (2020, Oxford University Press)","fe3fbd41-42b9-4d9a-83d8-887db92f1f28"
"Unknown","Unknown","","","2022-11-18T23:53:35-05:00","djvu","","37","","","Calibre Library","0100-12-31T19:00:00-05:00","","","","1.0","3450520","","Jakob Nielsen, Usability Engineering (1993)","Jakob Nielsen, Usability Engineering (1993)","c52e2d71-cb50-4547-b4f3-e592a82dadfa"
"DUNE  The Graphic Novel, Book 1  Dune  Book 1. 1-Harry N. Abrams (2020)","DUNE The Graphic Novel, Book 1 Dune Book 1. 1-Harry N. Abrams (2020)","","/Users/natkite/Calibre Library/DUNE The Graphic Novel, Book 1 Dune Book 1. 1-Harry N. Abrams (2020)/Brian Herbert, Kevin J. Anderson (40)/cover.jpg","2022-12-20T17:47:36-05:00","cbr","","40","","","Calibre Library","0100-12-31T19:00:00-05:00","","","","1.0","235597091","","Brian Herbert, Kevin J. Anderson","Brian Herbert, Kevin J. Anderson","48cb972a-bc78-470b-96bb-79705e3b84a5"
"1-Wadsworth, Enumerative combinatorics. & Brooks   Cole, Chapman & Hall (2000)","Enumerative combinatorics. 1-Wadsworth & Brooks Cole, Chapman & Hall (2000)","","","2023-01-10T15:21:38-05:00","djvu","","42","","","Calibre Library","0100-12-31T19:00:00-05:00","","","","1.0","3329243","","(Cambridge Studies in Advanced Mathematics 49) Richard P. Stanley","(Cambridge Studies in Advanced Mathematics 49) Richard P. Stanley","a4582577-083a-42ed-9e4e-9f31f9e87985"
"Petzold, Charles","Charles Petzold","Programming Legend Charles Petzold unlocks the secrets of the extraordinary and prescient 1936 paper by Alan M. Turing
Mathematician Alan Turing invented an imaginary computer known as the Turing Machine; in an age before computers, he explored the concept of what it meant to be computable, creating the field of computability theory in the process, a foundation of present-day computer programming.
The book expands Turing’s original 36-page paper with additional background chapters and extensive annotations; the author elaborates on and clarifies many of Turing’s statements, making the original difficult-to-read document accessible to present day programmers, computer science majors, math geeks, and others.
Interwoven into the narrative are the highlights of Turing’s own life: his years at Cambridge and Princeton, his secret work in cryptanalysis during World War II, his involvement in seminal computer projects, his speculations about artificial intelligence, his arrest and prosecution for the crime of ""gross indecency,"" and his early death by apparent suicide at the age of 41.
","/Users/natkite/Calibre Library/Charles Petzold/The Annotated Turing_ A Guided Tour Through Alan Turing's Historic Paper on Computability and th (44)/cover.jpg","2023-02-15T00:40:36-05:00","azw3, djvu","","44","amazon:B0BLCZT7C3","eng","Calibre Library","2022-11-01T23:00:00-05:00","","4","","1.0","2977024","","The Annotated Turing: A Guided Tour Through Alan Turing's Historic Paper on Computability and the Turing Machine 1st Edition","Annotated Turing: A Guided Tour Through Alan Turing's Historic Paper on Computability and the Turing Machine 1st Edition, The","0cbfa133-f0ef-4122-b68a-da77b822e3ab"
"Languages & Madras, Nations The Dravidian Proof in Colonial","Languages & Nations The Dravidian Proof in Colonial Madras (2006)","","/Users/natkite/Calibre Library/Languages/Thomas R. Trautmann (45)/cover.jpg","2023-08-16T11:43:24-05:00","pdf","","45","","","Calibre Library","2006-10-10T12:46:52-05:00","","","","1.0","3155986","","Thomas R. Trautmann","Thomas R. Trautmann","efa8eee0-8b5b-45dd-91ee-a48eee0c7a3a"
